street_name,city_district
Tigria,Vyšné Opátske
Tichá,Juh
Timonova,Staré Mesto
Timravy,Barca
Titánová,Barca
Titogradská,Sídlisko KVP
Tokajícka,Dargovských hrdinov
Tokajská,Krásna
Tolstého,Sever
Tomášikova,Sever
Topasová,Západ
Topoľčianska,Západ
Topoľová,Juh
Toryská,Západ
Továrenská,Staré Mesto
Tramínová,Krásna
Tranovského,Juh
Traťová,Krásna
Trebišovská,Západ
Trenčianska,Sever
Tri hôrky,Západ
Trieda arm. gen. Svobodu,Dargovských hrdinov
Trieda KVP,Sídlisko KVP
Trieda SNP,Západ
Trnavská,Západ
Trnková,Košická Nová Ves
Tŕňová,Sever
Trolejbusová,Džungľa
Turgenevova,Juh
Turistická,Sever
Turnianska,Barca
Tvrdošínska,Krásna
Tyršovo nábrežie,Staré Mesto
Učňovská,Šaca
Uherova,Západ
Ukrajinská,Krásna
Ulica 1. mája,Krásna
Ulica Alexandra Dubčeka,Krásna
Ulica Andreja Kvasa,Barca
Ulica Breziny,Lorinčík
Ulica Dolina,Poľov
Ulica k Hutke,Krásna
Ulica k Zoologickej záhrade,Kavečany
Ulica ku Gederu,Košická Nová Ves
Ulica Malokarpatská,Krásna
Ulica na Furmanci,Lorinčík
Ulica na Grunte,Sídlisko KVP
Ulica na Grunte,Myslava
Ulica na Horu,Krásna
Ulica na Košarisku,Lorinčík
Ulica na Košarisku,Pereš
Ulica na Polianku,Krásna
Ulica na prednom Záhumní,Krásna
Ulica na zadnom Záhumní,Krásna
Ulica nad Bangortami,Myslava
Ulica obrody,Západ
Ulica osloboditeľov,Barca
Ulica Pod Čapášom,Lorinčík
Ulica pod Hájmi,Lorinčík
Ulica Pod lesom,Lorinčík
Ulica pokroku,Západ
Ulica pri plavárni,Staré Mesto
Ulica pri studničke,Krásna
Ulica Sajkov,Krásna
Ulica Skalická,Krásna
Ulica slobody,Západ
Ulica Stará sečovská cesta,Dargovských hrdinov
Ulica Strážovská,Západ
Ulica Súľovská,Západ
Ulica sv. Gorazda,Krásna
Ulica sv. Ladislava,Košická Nová Ves
Ulica Svätovavrinecká,Krásna
Ulica svornosti,Sever
Ulica výstavby,Západ
Ulica Záhrada Bernátovce,Barca
Ulica Zelená stráň,Košická Nová Ves
Ulica Zelený dvor,Dargovských hrdinov
Ulica Zelený dvor,Sídlisko Ťahanovce
Univerzitná,Staré Mesto
Uralská,Nad jazerom
Urbánkova,Sever
Urbárska,Krásna
Uršulínska,Staré Mesto
Úzka,Džungľa
Užhorodská,Juh
V úvoze,Vyšné Opátske
Vajanského,Juh
Valalická,Krásna
Varšavská,Sídlisko Ťahanovce
Važecká,Nad jazerom
Včelárska paseka,Vyšné Opátske
Vencová,Sever
Veterná,Juh
Viedenská,Sídlisko Ťahanovce
Vihorlatská,Sever
Viničná,Vyšné Opátske
Vínna,Krásna
Vínová,Košická Nová Ves
Višňová,Sever
Vnútorný Červený breh,Sever
Vo výmoli,Dargovských hrdinov
Vodárenská,Sever
Vodná,Staré Mesto
Vojenská,Staré Mesto
Vojvodská,Juh
Vonkajší Červený breh,Sever
Vozárova,Juh
Vrabčia,Juh
Vranovská,Pereš
Vranovská,Lorinčík
Vrátna,Staré Mesto
Vŕbová,Džungľa
Vrchná,Myslava
Vyhoňská,Kavečany
Východná,Krásna
Vysokoškolská,Sever
Vyšná,Kavečany
Vyšná úvrať,Dargovských hrdinov
Vyšná úvrať,Dargovských hrdinov
Vyšný dvor,Krásna
Watsonova,Sever
Werferova,Juh
Wuppertálska,Sídlisko KVP
Wurmova,Sídlisko KVP
Za amfiteátrom,Sever
Za dolným mlynom,Myslava
Za mostom,Krásna
Za priekopou,Myslava
Za školou,Barca
Za štadiónom,Sever
Záborského,Sever
Zádielska,Staré Mesto
Záhradná,Sever
Zajačia,Vyšné Opátske
Zámočnícka,Staré Mesto
Zborovjanova,Barca
Zborovská,Juh
Zbrojničná,Staré Mesto
Zelená,Krásna
Zeleninárska,Juh
Zemianska,Barca
Zemplínska,Vyšné Opátske
Zichyho,Barca
Zimná,Staré Mesto
Zinková,Barca
Zlatá,Juh
Zoborská,Sever
Zombova,Sídlisko KVP
Zupkova,Dargovských hrdinov
Zuzkin park,Západ
Zvolenská,Sever
Zvonárska,Staré Mesto
Zvončeková,Západ
Žarnovická,Západ
Žatevná,Vyšné Opátske
Ždiarska,Nad jazerom
Železiarenská,Šaca
Železničná,Staré Mesto
Želiarska,Ťahanovce
Žiacka,Krásna
Žilinská,Západ
Žitná,Vyšné Opátske
Žižkova,Juh
Žľaby,Sever
Žriedlová ulica,Staré Mesto
